Log-File created: 28.11.2024 18:53:24
28.11.2024 18:53:45: linear is null
28.11.2024 18:53:45: arrayprogression is null
28.11.2024 18:53:46: linear is null
28.11.2024 18:53:46: arrayprogression is null
28.11.2024 18:53:46: linear is null
28.11.2024 18:53:46: arrayprogression is null
28.11.2024 18:53:46: linear is null
28.11.2024 18:53:46: arrayprogression is null
28.11.2024 18:53:46: linear is null
28.11.2024 18:53:46: arrayprogression is null
28.11.2024 18:53:46: linear is null
28.11.2024 18:53:46: arrayprogression is null
